,0,1,2,3,4,5,6,7
36,DT,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.752500304161,0.992066666667,0.362701908957,0.406807576173,0.463125
37,DT,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.676684017101,0.999133333333,0.343612334802,0.393939393939,0.461538461538
38,DT,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.70755194971,0.9909,0.349486049927,0.383767804354,0.425506555423
39,DT,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.746847743644,0.994266666667,0.355849241312,0.402435649045,0.463057324841
40,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.673210253611,1.0,0.394028389623,0.384064885496,0.374592833876
41,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.682420363025,0.993033333333,0.316201664219,0.359688195991,0.417043253712
42,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.722082568204,0.999166666667,0.326480665688,0.376092472512,0.443484042553
43,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.664386969983,1.0,0.374449339207,0.373352855051,0.372262773723
44,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.692418121802,0.990066666667,0.339207048458,0.390752748802,0.460771276596
45,DT,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.725667281046,0.998333333333,0.334801762115,0.385460693153,0.454183266932
46,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.658573876941,1.0,0.365149290259,0.360038610039,0.355069014755
47,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.6851258412,0.993066666667,0.330885952031,0.379029997197,0.443569553806
48,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10, 'max_features': 'sqrt'}",1,0.72349069005,0.997666666667,0.335780714635,0.386696730552,0.455813953488
49,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2, 'max_features': 'log2'}",1,0.66009598581,1.0,0.368086147822,0.362671810948,0.357414448669
50,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5, 'max_features': 'log2'}",1,0.68413103502,1.0,0.34165442976,0.375470683163,0.41671641791
51,DT,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10, 'max_features': 'log2'}",1,0.726609895334,0.9991,0.339207048458,0.388452914798,0.454426229508
52,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2, 'max_features': 'sqrt'}",1,0.601797615879,0.4144,0.775330396476,0.161541991739,0.0901639344262
53,DT,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 5, 'max_features': 'sqrt'}",1,0.667421024221,0.8441,0.467939304944,0.284523809524,0.20440453282
