Models,Parameters,Split,Accuracy,Recall,AUC,F1,precision at0.05
LR,"{'C': 0.001, 'penalty': 'l2'}",1,0.9323,0.0156632403328,0.681668789271,0.0305489260143,0.164556962025
LR,"{'C': 0.01, 'penalty': 'l1'}",1,0.999933333333,0.999021047479,1.0,0.999510284035,1.0
LR,"{'C': 0.01, 'penalty': 'l2'}",1,0.9323,0.0156632403328,0.681615056659,0.0305489260143,0.163890739507
LR,"{'C': 0.1, 'penalty': 'l1'}",1,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.1, 'penalty': 'l2'}",1,0.9323,0.0156632403328,0.681609909253,0.0305489260143,0.163890739507
LR,"{'C': 1, 'penalty': 'l1'}",1,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 1, 'penalty': 'l2'}",1,0.932366666667,0.0166421928536,0.669745410541,0.0324272770625,0.150566289141
LR,"{'C': 10, 'penalty': 'l1'}",1,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 10, 'penalty': 'l2'}",1,0.9323,0.0156632403328,0.681608009615,0.0305489260143,0.163890739507
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,0.601797615879,0.0,0.0901639344262
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1}",1,0.942433333333,0.154674498287,1.0,0.267910131412,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,0.654297135674,0.0,0.41760856633
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,0.654297135674,0.0,0.41760856633
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,0.999957962854,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,0.654297135674,0.0,0.41760856633
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1}",1,0.9319,0.0,1.0,0.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",1,0.992066666667,0.910915320607,0.999109936522,0.939898989899,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",1,0.9999,0.998531571219,1.0,0.999265246143,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",1,0.999366666667,0.990699951052,1.0,0.995328251783,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,0.9806,0.776309348997,0.995193644964,0.844965370272,0.926943308007
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",1,0.9999,0.998531571219,1.0,0.999265246143,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5}",1,0.999166666667,0.98776309349,1.0,0.993843880818,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 10000, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 5}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,0.994933333333,0.931473323544,0.99802348376,0.961596766043,0.994758909853
RF,"{'n_estimators': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
RF,"{'n_estimators': 1000, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,1.0,1.0,1.0,1.0,1.0
